lemma,m,num_points,max_order,negative_differences,min_order0,min_order1,min_order2,min_order3
lemma1,0,13,12,0,6274275/2,146077575/2,6950459775/4,87321137925/2
lemma1,1,13,12,0,39454485/4,1024418745/4,6729402225,1482941927985/8
lemma1,2,13,12,0,1132574065/96,11264451765/32,1004919149045/96,30973439673365/96
lemma1,3,13,12,0,323645585/48,2903414765/12,202225541485/24,1791628963505/6
lemma1,4,13,12,0,544102795/288,25231130705/288,4328548236205/1152,183194810268425/1152
lemma1,5,13,12,0,11329087/48,577565641/36,529094184619/576,6290189415463/128
lemma1,6,13,12,0,1880185/192,737228813/576,130712572063/1152,3236376893531/384
lemma1,7,13,12,0,1769/36,2895259/96,1117023761/192,826075279265/1152
lemma1,8,12,11,0,2987/54,528257339/6912,82548484715/3456,58278614816719/13824
lemma1,9,11,10,0,21025/432,1197053237/6912,630041573737/6912,40333586472347/1728
lemma1,10,10,9,0,5423/144,3365846423/9216,1522822019009/4608,2279084171378255/18432
lemma1,11,9,8,0,46487/1728,5062763911/6912,31905856860569/27648,35032496089312613/55296
lemma2,0,13,12,0,86130,2974410,182661525/2,87572696805/32
lemma2,1,13,12,0,116340,4914210,721900935/4,50679979665/8
lemma2,2,13,12,0,44316,2595424,990971813/8,345586399221/64
lemma2,3,13,12,0,4500,481533,278454847/8,132815214111/64
lemma2,4,13,12,0,48,23244,14395281/4,45050878119/128
lemma2,5,12,11,0,80,1417345/16,1394782181/64,384331565379/128
lemma2,6,11,10,0,100,72029411/256,14656942451/128,5786717449161/256
lemma2,7,10,9,0,105,202681773/256,69789952719/128,79671525362709/512
lemma2,8,9,8,0,98,261463853/128,618440367713/256,2052473254779115/2048
lemma2,9,8,7,0,84,5055022491/1024,10374769520427/1024,6279358395135185/1024
lemma2,10,7,6,0,135/2,46427850495/4096,83332346754309/2048,147590928927789201/4096
lemma2,11,6,5,0,825/16,51151470447/2048,161562257576127/1024,839301854910425669/4096
