lemma,diag_m_from_top,r0,num_points,degree,neg_coeffs,min_coef,max_coef
lemma1,0,3,13,12,0,6274275/2,2464450995814129695387000
lemma1,1,3,13,12,0,39454485/4,19232243490248802484292850
lemma1,2,3,13,12,0,1132574065/96,3250266203594551012899535235/48
lemma1,3,3,13,12,0,323645585/48,13666266670288588284910444765/96
lemma1,4,3,13,12,0,544102795/288,114757924241487695061864763265/576
lemma1,5,3,13,12,0,11329087/48,783363625160862206238031311/4
lemma1,6,3,13,12,0,1880185/192,106745078796226362272274198167/768
lemma1,7,3,13,12,0,1769/36,332156907950110308883503071359/4608
lemma1,8,4,12,11,0,2987/54,382502241687430637633224903213/13824
lemma1,9,5,11,10,0,21025/432,424071495213431451656768153075/55296
lemma1,10,6,10,9,0,5423/144,27741803054098260340348167779/18432
lemma1,11,7,9,8,0,46487/1728,44814709475158637985121768063/221184
lemma2,0,3,13,12,0,86130,540721553898365120864475/2
lemma2,1,3,13,12,0,116340,49148557491593468599583655/32
lemma2,2,3,13,12,0,44316,247559815638011590293344559/64
lemma2,3,3,13,12,0,4500,727550801065854809544940977/128
lemma2,4,3,13,12,0,48,690827514800838479300054427/128
lemma2,5,4,12,11,0,80,899955199514230730288063065/256
lemma2,6,5,11,10,0,100,1606066224814174205628391105/1024
lemma2,7,6,10,9,0,105,489524150435859168127934817/1024
lemma2,8,7,9,8,0,98,799678930885607977864300305/8192
lemma2,9,8,8,7,0,84,26320124770205396613104741/2048
lemma2,10,9,7,6,0,135/2,8386776164818240960425705/8192
lemma2,11,10,6,5,0,825/16,1460136903057210984830305/32768
