lemma,r,k_min,k_max,num_k,min_rho,max_rho,neg_count,zero_count
lemma1,3,0,7,8,1769/36,6274275/2,0,0
lemma1,4,0,8,9,2987/54,39454485/4,0,0
lemma1,5,0,9,10,21025/432,1132574065/96,0,0
lemma1,6,0,10,11,5423/144,323645585/48,0,0
lemma1,7,0,11,12,46487/1728,544102795/288,0,0
lemma1,8,0,12,13,3361/162,11329087/48,0,0
lemma1,9,0,13,14,13385/864,1880185/192,0,0
lemma1,10,0,14,15,411/32,1769/36,0,0
lemma1,11,0,15,16,623/64,2987/54,0,0
lemma1,12,0,16,17,1135/144,21025/432,0,0
lemma1,13,0,17,18,1807/288,5423/144,0,0
lemma1,14,0,18,19,2411/432,46487/1728,0,0
lemma1,15,0,19,20,719/144,3361/162,0,0
lemma2,3,0,4,5,48,86130,0,0
lemma2,4,0,5,6,80,116340,0,0
lemma2,5,0,6,7,100,44316,0,0
lemma2,6,0,7,8,105,4500,0,0
lemma2,7,0,8,9,98,98,0,0
lemma2,8,0,9,10,84,84,0,0
lemma2,9,0,10,11,135/2,135/2,0,0
lemma2,10,0,11,12,825/16,825/16,0,0
lemma2,11,0,12,13,605/16,605/16,0,0
lemma2,12,0,13,14,105/4,105/4,0,0
lemma2,13,0,14,15,1365/64,1365/64,0,0
lemma2,14,0,15,16,1001/64,1001/64,0,0
lemma2,15,0,16,17,1001/64,1001/64,0,0
