term_id,total_weight,num_atoms,partition,coefficient,monomial,cumulant,next_reduction_target
1,6,1,6,1,E6,<E6>,R_j/q_d
2,6,2,1+5,1,E1*E5,"kappa(E1,E5)",R_j/q_d
3,6,2,2+4,1,E2*E4,"kappa(E2,E4)",R_j/q_d
4,6,2,3+3,1/2,E3*E3,"kappa(E3,E3)",R_j/q_d
5,6,3,1+1+4,1/2,E1*E1*E4,"kappa(E1,E1,E4)",R_j/q_d
6,6,3,1+2+3,1,E1*E2*E3,"kappa(E1,E2,E3)",R_j/q_d
7,6,3,2+2+2,1/6,E2*E2*E2,"kappa(E2,E2,E2)",R_j/q_d
8,6,4,1+1+1+3,1/6,E1*E1*E1*E3,"kappa(E1,E1,E1,E3)",R_j/q_d
9,6,4,1+1+2+2,1/4,E1*E1*E2*E2,"kappa(E1,E1,E2,E2)",R_j/q_d
10,6,5,1+1+1+1+2,1/24,E1*E1*E1*E1*E2,"kappa(E1,E1,E1,E1,E2)",R_j/q_d
11,6,6,1+1+1+1+1+1,1/720,E1*E1*E1*E1*E1*E1,"kappa(E1,E1,E1,E1,E1,E1)",R_j/q_d
