k,r,values_q0_to_q7,q_binomial_coeffs,q_binomial_nonnegative,q_monomial_nonnegative
0,0,1;1;1;1;1;1;1;1,1,True,True
1,0,2;71/8;47/2;195/4;175/2;1141/8;217;627/2,2;55/8;31/4;23/8,True,True
1,1,2;47/8;93/8;77/4;115/4;321/8;427/8;137/2,2;31/8;15/8,True,True
2,0,0;28;3863/16;70955/64;29385/8;633605/64;184849/8;1551081/32,0;28;2967/16;29975/64;9201/16;22195/64;2645/32,True,True
2,1,0;50;3619/12;67727/64;181147/64;1226785/192;820585/64;377307/16,0;50;2419/12;19423/64;13247/64;1725/32,True,True
2,2,0;24;5605/48;343;25231/32;149765/96;89143/32;147665/32,0;24;3301/48;1035/16;675/32,True,True
3,0,0;32;1383;92885/6;6282695/64;227868445/512;38598343/24;630534989/128,0;32;1319;68567/6;8527445/192;146470415/1536;31071725/256;46864685/512,True,False
3,1,0;112;29666/9;10379953/384;51463021/384;2290197139/4608;2329709657/1536;771176083/192,0;112;27650/9;2237243/128;17365673/384;99566933/1536;27204389/512;6012133/256,True,False
3,2,0;128;53989/18;3879505/192;1355051/16;78213523/288;560140379/768;220620499/128,0;128;49381/18;2225585/192;21352;499799/24;2654489/256;552211/256,True,False
3,3,0;48;11429/12;710315/128;2619611/128;44965799/768;36319773/256;19541783/64,0;48;10277/12;363019/128;485231/128;622043/256;147457/256;2209/128,True,False
4,0,0;0;4644;9387755/64;1911721725/1024;3721423125/256;63139436885/768;1515355749369/4096,0;0;4644;8496107/64;1339438141/1024;6781570115/1024;61844510885/3072;484609041175/12288,True,False
4,1,0;0;169132/9;6705303/16;24819106693/6144;6426063965/256;90349469899/768;5541665985689/12288,0;0;169132/9;17409797/48;15212525957/6144;164171272285/18432;39988111089/2048;338049557147/12288,True,False
4,2,0;0;270760/9;3255571/6;278652111/64;35452290403/1536;289144787023/3072;163307730445/512,0;0;270760/9;2714051/6;151300175/64;29658605329/4608;32396066267/3072;33092548595/3072,True,False
4,3,0;0;64792/3;64070245/192;4779546851/2048;11204148919/1024;122728812163/3072;250830600407/2048,0;0;64792/3;51630181/192;6933813289/6144;4902409663/2048;18173324977/6144;6565437721/3072,True,False
