x_power,Y_power,q_power,coefficient,monomial
1,-1,0,-4,x*Y^-1
1,0,0,-10/3,x
1,1,0,461/36,x*Y
1,2,0,-29/8,x*Y^2
1,3,0,-49/18,x*Y^3
2,1,0,-7/3,x^2*Y
2,2,0,1/9,x^2*Y^2
2,3,0,49/24,x^2*Y^3
3,3,0,-49/144,x^3*Y^3
0,-1,1,4,Y^-1*q_d
0,0,1,16/3,q_d
0,1,1,-473/36,Y*q_d
0,2,1,-4/9,Y^2*q_d
0,3,1,245/48,Y^3*q_d
1,1,1,1/3,x*Y*q_d
1,2,1,167/36,x*Y^2*q_d
1,3,1,-637/144,x*Y^3*q_d
2,3,1,49/144,x^2*Y^3*q_d
0,0,2,-2,q_d^2
0,1,2,7/3,Y*q_d^2
0,2,2,35/72,Y^2*q_d^2
0,3,2,-49/72,Y^3*q_d^2
0,4,2,-49/288,Y^4*q_d^2
1,2,2,-7/6,x*Y^2*q_d^2
1,3,2,49/72,x*Y^3*q_d^2
1,4,2,49/144,x*Y^4*q_d^2
2,4,2,-49/288,x^2*Y^4*q_d^2
