qd_power,qdm1_power,Y_power,coefficient,sign,monomial
1,0,0,2,+,q_d
1,0,1,-1/3,-,Y*q_d
1,0,2,-293/72,-,Y^2*q_d
1,0,3,343/144,+,Y^3*q_d
2,0,0,-2,-,q_d^2
2,0,1,1/3,+,Y*q_d^2
2,0,2,377/72,+,Y^2*q_d^2
2,0,3,-49/16,-,Y^3*q_d^2
2,0,4,-49/288,-,Y^4*q_d^2
3,0,2,-7/6,-,Y^2*q_d^3
3,0,3,49/72,+,Y^3*q_d^3
3,0,4,49/144,+,Y^4*q_d^3
4,0,4,-49/288,-,Y^4*q_d^4
1,1,0,2,+,q_d*q_{d-1}
1,1,1,5/3,+,Y*q_d*q_{d-1}
1,1,2,-461/72,-,Y^2*q_d*q_{d-1}
1,1,3,29/16,+,Y^3*q_d*q_{d-1}
1,1,4,49/36,+,Y^4*q_d*q_{d-1}
2,1,2,13/6,+,Y^2*q_d^2*q_{d-1}
2,1,3,-175/72,-,Y^3*q_d^2*q_{d-1}
2,1,4,49/288,+,Y^4*q_d^2*q_{d-1}
3,1,3,7/12,+,Y^3*q_d^3*q_{d-1}
3,1,4,-49/288,-,Y^4*q_d^3*q_{d-1}
3,1,5,-49/288,-,Y^5*q_d^3*q_{d-1}
4,1,5,49/288,+,Y^5*q_d^4*q_{d-1}
2,2,3,-7/12,-,Y^3*q_d^2*q_{d-1}^2
2,2,4,1/36,+,Y^4*q_d^2*q_{d-1}^2
2,2,5,49/96,+,Y^5*q_d^2*q_{d-1}^2
3,2,5,-49/288,-,Y^5*q_d^3*q_{d-1}^2
4,2,6,-49/1152,-,Y^6*q_d^4*q_{d-1}^2
3,3,6,49/1152,+,Y^6*q_d^3*q_{d-1}^3
