R_monomial,y_power,coefficient
R5,4,1
R6,4,3/2
R6,6,-17/48
R7,4,1/2
R7,6,-15/16
R8,4,1/24
R8,6,-43/96
R8,8,673/4608
R9,6,-7/144
R9,8,77/576
R10,8,49/2304
R10,10,-245/18432
R11,10,-343/82944
R12,12,2401/7962624
R2*R4,4,-1
R2*R5,4,-1
R2*R5,6,1/3
R2*R6,4,-1/6
R2*R6,6,29/48
R2*R7,6,7/48
R2*R7,8,-35/384
R2*R8,8,-49/1152
R2*R9,10,343/82944
R3^2,4,-1/2
R3*R4,4,-1/2
R3*R4,6,29/48
R3*R5,6,7/12
R3*R5,8,-7/72
R3*R6,6,7/144
R3*R6,8,-7/32
R3*R7,8,-49/1152
R3*R7,10,245/9216
R3*R8,10,343/27648
R3*R9,12,-2401/1990656
R4^2,4,-1/8
R4^2,6,5/32
R4^2,8,-25/512
R4*R5,6,7/48
R4*R5,8,-35/384
R4*R6,8,-49/2304
R4*R6,10,245/18432
R5^2,8,-49/1152
R5*R6,10,343/27648
R6^2,12,-2401/2654208
R2^2*R3,4,1
R2^2*R4,4,1/2
R2^2*R4,6,-5/16
R2^2*R5,6,-7/24
R2^2*R6,8,49/1152
R2*R3^2,6,-7/12
R2*R3*R4,6,-7/24
R2*R3*R4,8,35/192
R2*R3*R5,8,49/288
R2*R3*R6,10,-343/13824
R3^3,8,49/576
R3^2*R4,8,49/1152
R3^2*R4,10,-245/9216
R3^2*R5,10,-343/13824
R3^2*R6,12,2401/663552
R2^4,4,-1/4
R2^3*R3,6,7/24
R2^2*R3^2,8,-49/384
R2*R3^3,10,343/13824
R3^4,12,-2401/1327104
