lemma,r,a,family,shift_s,multiplier_b,coefficient
lemma1,3,0,Delta2,8,0,1769/72
lemma1,3,1,Delta2,8,1,1894337/576
lemma1,3,2,Delta2,8,2,17933723/288
lemma1,3,3,Delta2,8,3,251628379/576
lemma1,3,4,Delta2,8,4,13514567/9
lemma1,3,5,Delta2,8,5,404517235/144
lemma1,3,6,Delta2,8,6,140079875/48
lemma1,3,7,Delta2,8,7,151826255/96
lemma1,3,8,Delta2,8,8,2091425/6
lemma1,4,0,Delta2,9,0,2987/108
lemma1,4,1,Delta2,9,1,8723825/864
lemma1,4,2,Delta2,9,2,143637971/432
lemma1,4,3,Delta2,9,3,1030558601/288
lemma1,4,4,Delta2,9,4,145377005/8
lemma1,4,5,Delta2,9,5,3631961915/72
lemma1,4,6,Delta2,9,6,1200456075/16
lemma1,4,7,Delta2,9,7,111508880/3
lemma1,4,8,Delta2,9,8,15235185/2
lemma1,4,9,Delta2,9,9,15235185/2
lemma1,5,0,Delta2,10,0,21025/864
lemma1,5,1,Delta2,10,1,176381425/6912
lemma1,5,2,Delta2,10,2,5166870655/3456
lemma1,5,3,Delta2,10,3,56854950065/2304
lemma1,5,4,Delta2,10,4,104652649205/576
lemma1,5,5,Delta2,10,5,207520318075/288
lemma1,5,6,Delta2,10,6,301724894625/128
lemma1,5,7,Delta2,10,7,23613415175/12
lemma1,5,8,Delta2,10,8,7173419925/8
lemma1,5,9,Delta2,10,9,686119875/4
lemma1,5,10,Delta2,10,10,686119875/4
lemma1,6,0,Delta2,11,0,5423/288
lemma1,6,1,Delta2,11,1,133086677/2304
lemma1,6,2,Delta2,11,2,6989599415/1152
lemma1,6,3,Delta2,11,3,117453517565/768
lemma1,6,4,Delta2,11,4,102974502243/64
lemma1,6,5,Delta2,11,5,1705523212835/192
lemma1,6,6,Delta2,11,6,6871637549315/96
lemma1,6,7,Delta2,11,7,1736601720315/32
lemma1,6,8,Delta2,11,8,365583253875/16
lemma1,6,9,Delta2,11,9,65460889725/16
lemma1,6,10,Delta2,11,10,65460889725/16
lemma1,6,11,Delta2,11,11,0
