qd_power,qdm1_power,terms,positive_terms,negative_terms,Y_min,Y_max,common_denominator,transport_half_power_depth,natural_transport_candidate,conservative_cube_candidate
1,0,9,5,4,-2,6,124416,0,1,1
2,0,10,4,6,-2,7,124416,0,1,1
3,0,9,5,4,-1,7,124416,0,1,1
4,0,9,3,6,0,8,248832,0,1,1
5,0,7,5,2,2,8,124416,0,1,1
6,0,5,2,3,4,8,124416,0,1,1
7,0,3,2,1,6,8,62208,0,1,1
8,0,1,0,1,8,8,82944,0,1,1
1,1,10,6,4,-2,7,124416,1,1/2,1/8
2,1,9,5,4,-1,7,62208,1,1/2,1/8
3,1,9,3,6,0,8,124416,1,1/2,1/8
4,1,7,5,2,2,8,124416,1,1/2,1/8
5,1,7,4,3,3,9,124416,1,1/2,1/8
6,1,5,3,2,5,9,124416,1,1/2,1/8
7,1,3,1,2,7,9,124416,1,1/2,1/8
8,1,1,1,0,9,9,41472,1,1/2,1/8
2,2,9,6,3,0,8,31104,2,1/4,1/64
3,2,7,2,5,2,8,497664,2,1/4,1/64
4,2,7,4,3,3,9,497664,2,1/4,1/64
5,2,5,2,3,5,9,248832,2,1/4,1/64
6,2,5,1,4,6,10,497664,2,1/4,1/64
7,2,3,2,1,8,10,248832,2,1/4,1/64
8,2,1,0,1,10,10,55296,2,1/4,1/64
3,3,7,4,3,3,9,497664,3,1/8,1/512
4,3,5,3,2,5,9,497664,3,1/8,1/512
5,3,5,2,3,6,10,497664,3,1/8,1/512
6,3,3,2,1,8,10,497664,3,1/8,1/512
7,3,3,2,1,9,11,497664,3,1/8,1/512
8,3,1,1,0,11,11,165888,3,1/8,1/512
4,4,5,2,3,6,10,497664,4,1/16,1/4096
5,4,3,1,2,8,10,1990656,4,1/16,1/4096
6,4,3,2,1,9,11,1990656,4,1/16,1/4096
7,4,1,0,1,11,11,995328,4,1/16,1/4096
8,4,1,0,1,12,12,1327104,4,1/16,1/4096
5,5,3,1,2,9,11,1990656,5,1/32,1/32768
6,5,1,1,0,11,11,995328,5,1/32,1/32768
7,5,1,1,0,12,12,995328,5,1/32,1/32768
6,6,1,0,1,12,12,3981312,6,1/64,1/262144
