lemma,m,r0,degree,num_points,neg_coeffs,first_coeffs,top_coeff
lemma1,0,3,12,13,0,"c0=6274275/2; c1=146077575/2; c2=6950459775/4; c3=87321137925/2; c4=2333857941975/2",c12=2464450995814129695387000
lemma1,1,3,12,13,0,"c0=39454485/4; c1=1024418745/4; c2=6729402225; c3=1482941927985/8; c4=43173978522255/8",c12=19232243490248802484292850
lemma1,2,3,12,13,0,"c0=1132574065/96; c1=11264451765/32; c2=1004919149045/96; c3=30973439673365/96; c4=333169249663775/32",c12=3250266203594551012899535235/48
lemma1,3,3,12,13,0,"c0=323645585/48; c1=2903414765/12; c2=202225541485/24; c3=1791628963505/6; c4=1048452493703315/96",c12=13666266670288588284910444765/96
lemma1,4,3,12,13,0,"c0=544102795/288; c1=25231130705/288; c2=4328548236205/1152; c3=183194810268425/1152; c4=3912399955653155/576",c12=114757924241487695061864763265/576
lemma1,5,3,12,13,0,"c0=11329087/48; c1=577565641/36; c2=529094184619/576; c3=6290189415463/128; c4=1473271711273289/576",c12=783363625160862206238031311/4
lemma1,6,3,12,13,0,"c0=1880185/192; c1=737228813/576; c2=130712572063/1152; c3=3236376893531/384; c4=2628626654669039/4608",c12=106745078796226362272274198167/768
lemma1,7,3,12,13,0,"c0=1769/36; c1=2895259/96; c2=1117023761/192; c3=826075279265/1152; c4=54082746584161/768",c12=332156907950110308883503071359/4608
lemma1,8,4,11,12,0,"c0=2987/54; c1=528257339/6912; c2=82548484715/3456; c3=58278614816719/13824; c4=1913054452077455/3456",c11=382502241687430637633224903213/13824
lemma1,9,5,10,11,0,"c0=21025/432; c1=1197053237/6912; c2=630041573737/6912; c3=40333586472347/1728; c4=113798890750939057/27648",c10=424071495213431451656768153075/55296
lemma1,10,6,9,10,0,"c0=5423/144; c1=3365846423/9216; c2=1522822019009/4608; c3=2279084171378255/18432; c4=270402410339399443/9216",c9=27741803054098260340348167779/18432
lemma1,11,7,8,9,0,"c0=46487/1728; c1=5062763911/6912; c2=31905856860569/27648; c3=35032496089312613/55296; c4=22388669977136268233/110592",c8=44814709475158637985121768063/221184
lemma2,0,3,12,13,0,"c0=86130; c1=2974410; c2=182661525/2; c3=87572696805/32; c4=2661931114515/32",c12=540721553898365120864475/2
lemma2,1,3,12,13,0,"c0=116340; c1=4914210; c2=721900935/4; c3=50679979665/8; c4=3546438948465/16",c12=49148557491593468599583655/32
lemma2,2,3,12,13,0,"c0=44316; c1=2595424; c2=990971813/8; c3=345586399221/64; c4=3632468944511/16",c12=247559815638011590293344559/64
lemma2,3,3,12,13,0,"c0=4500; c1=481533; c2=278454847/8; c3=132815214111/64; c4=14335976413869/128",c12=727550801065854809544940977/128
lemma2,4,3,12,13,0,"c0=48; c1=23244; c2=14395281/4; c3=45050878119/128; c4=108967579335/4",c12=690827514800838479300054427/128
lemma2,5,4,11,12,0,"c0=80; c1=1417345/16; c2=1394782181/64; c3=384331565379/128; c4=4920366067029/16",c11=899955199514230730288063065/256
lemma2,6,5,10,11,0,"c0=100; c1=72029411/256; c2=14656942451/128; c3=5786717449161/256; c4=790013490986565/256",c10=1606066224814174205628391105/1024
lemma2,7,6,9,10,0,"c0=105; c1=202681773/256; c2=69789952719/128; c3=79671525362709/512; c4=29092260205556553/1024",c9=489524150435859168127934817/1024
lemma2,8,7,8,9,0,"c0=98; c1=261463853/128; c2=618440367713/256; c3=2052473254779115/2048; c4=125461408690260215/512",c8=799678930885607977864300305/8192
lemma2,9,8,7,8,0,"c0=84; c1=5055022491/1024; c2=10374769520427/1024; c3=6279358395135185/1024; c4=1028647826926167179/512",c7=26320124770205396613104741/2048
lemma2,10,9,6,7,0,"c0=135/2; c1=46427850495/4096; c2=83332346754309/2048; c3=147590928927789201/4096; c4=16201787975462631147/1024",c6=8386776164818240960425705/8192
lemma2,11,10,5,6,0,"c0=825/16; c1=51151470447/2048; c2=161562257576127/1024; c3=839301854910425669/4096; c4=1975942138490512019995/16384",c5=1460136903057210984830305/32768
