family,role,qd_power,qdm1_power,Y_power,coefficient,sign,monomial
Delta^4,delta,4,0,-4,-1856/105,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-4,-1856/105,-,Y^-4*q_d^3*q_{d-1}
Delta^4,delta,4,0,-3,-74752/105,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-3,-74752/105,-,Y^-3*q_d^3*q_{d-1}
Delta^4,delta,4,0,-2,-3781592/405,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-2,-3781592/405,-,Y^-2*q_d^3*q_{d-1}
Delta^4,delta,4,0,-1,-2889304/81,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-1,-2889304/81,-,Y^-1*q_d^3*q_{d-1}
Delta^4,delta,4,0,0,137978296/1215,+,Delta^4
Delta^4,residual_mixed_depth,3,1,0,137978296/1215,+,q_d^3*q_{d-1}
Delta^4,delta,4,0,1,14708360249/21870,+,Delta^4
Delta^4,residual_mixed_depth,3,1,1,14708360249/21870,+,Y*q_d^3*q_{d-1}
Delta^4,delta,4,0,2,-420220342069/349920,-,Delta^4
Delta^4,residual_mixed_depth,3,1,2,-420220342069/349920,-,Y^2*q_d^3*q_{d-1}
Delta^4,delta,4,0,3,-4309506783239/1049760,-,Delta^4
Delta^4,residual_mixed_depth,3,1,3,-4309506783239/1049760,-,Y^3*q_d^3*q_{d-1}
Delta^4,delta,4,0,4,2835063309362041/302330880,+,Delta^4
Delta^4,residual_mixed_depth,3,1,4,2835063309362041/302330880,+,Y^4*q_d^3*q_{d-1}
Delta^4,delta,4,0,5,52730123843195/10077696,+,Delta^4
Delta^4,residual_mixed_depth,3,1,5,52730123843195/10077696,+,Y^5*q_d^3*q_{d-1}
Delta^4,delta,4,0,6,-10951983007767211/403107840,-,Delta^4
Delta^4,residual_mixed_depth,3,1,6,-10951983007767211/403107840,-,Y^6*q_d^3*q_{d-1}
Delta^4,delta,4,0,7,1251068884027189/80621568,+,Delta^4
Delta^4,residual_mixed_depth,3,1,7,1251068884027189/80621568,+,Y^7*q_d^3*q_{d-1}
Delta^4,delta,4,0,8,27842410608932713/1612431360,+,Delta^4
Delta^4,residual_mixed_depth,3,1,8,27842410608932713/1612431360,+,Y^8*q_d^3*q_{d-1}
Delta^4,delta,4,0,9,-3586198312599343/161243136,-,Delta^4
Delta^4,residual_mixed_depth,3,1,9,-3586198312599343/161243136,-,Y^9*q_d^3*q_{d-1}
Delta^4,delta,4,0,10,26866845197748983/6449725440,+,Delta^4
Delta^4,residual_mixed_depth,3,1,10,26866845197748983/6449725440,+,Y^10*q_d^3*q_{d-1}
Delta^4,delta,4,0,11,73797748760207101/19349176320,+,Delta^4
Delta^4,residual_mixed_depth,3,1,11,73797748760207101/19349176320,+,Y^11*q_d^3*q_{d-1}
Delta^4,delta,4,0,12,-3170385541919687/2418647040,-,Delta^4
Delta^4,residual_mixed_depth,3,1,12,-3170385541919687/2418647040,-,Y^12*q_d^3*q_{d-1}
Delta^4,delta,4,0,13,-94557089930947/1074954240,-,Delta^4
Delta^4,residual_mixed_depth,3,1,13,-94557089930947/1074954240,-,Y^13*q_d^3*q_{d-1}
