term_id,ell,total_weight,num_atoms,partition,coefficient,monomial
1,5,10,1,10,1,E10
2,5,10,2,1+9,1,E1*E9
3,5,10,2,2+8,1,E2*E8
5,5,10,2,3+7,1,E3*E7
8,5,10,2,4+6,1,E4*E6
13,5,10,2,5+5,1/2,E5*E5
4,5,10,3,1+1+8,1/2,E1*E1*E8
6,5,10,3,1+2+7,1,E1*E2*E7
9,5,10,3,1+3+6,1,E1*E3*E6
14,5,10,3,1+4+5,1,E1*E4*E5
10,5,10,3,2+2+6,1/2,E2*E2*E6
15,5,10,3,2+3+5,1,E2*E3*E5
20,5,10,3,2+4+4,1/2,E2*E4*E4
22,5,10,3,3+3+4,1/2,E3*E3*E4
7,5,10,4,1+1+1+7,1/6,E1*E1*E1*E7
11,5,10,4,1+1+2+6,1/2,E1*E1*E2*E6
16,5,10,4,1+1+3+5,1/2,E1*E1*E3*E5
21,5,10,4,1+1+4+4,1/4,E1*E1*E4*E4
17,5,10,4,1+2+2+5,1/2,E1*E2*E2*E5
23,5,10,4,1+2+3+4,1,E1*E2*E3*E4
29,5,10,4,1+3+3+3,1/6,E1*E3*E3*E3
25,5,10,4,2+2+2+4,1/6,E2*E2*E2*E4
30,5,10,4,2+2+3+3,1/4,E2*E2*E3*E3
12,5,10,5,1+1+1+1+6,1/24,E1*E1*E1*E1*E6
18,5,10,5,1+1+1+2+5,1/6,E1*E1*E1*E2*E5
24,5,10,5,1+1+1+3+4,1/6,E1*E1*E1*E3*E4
26,5,10,5,1+1+2+2+4,1/4,E1*E1*E2*E2*E4
31,5,10,5,1+1+2+3+3,1/4,E1*E1*E2*E3*E3
33,5,10,5,1+2+2+2+3,1/6,E1*E2*E2*E2*E3
37,5,10,5,2+2+2+2+2,1/120,E2*E2*E2*E2*E2
19,5,10,6,1+1+1+1+1+5,1/120,E1*E1*E1*E1*E1*E5
27,5,10,6,1+1+1+1+2+4,1/24,E1*E1*E1*E1*E2*E4
32,5,10,6,1+1+1+1+3+3,1/48,E1*E1*E1*E1*E3*E3
34,5,10,6,1+1+1+2+2+3,1/12,E1*E1*E1*E2*E2*E3
38,5,10,6,1+1+2+2+2+2,1/48,E1*E1*E2*E2*E2*E2
28,5,10,7,1+1+1+1+1+1+4,1/720,E1*E1*E1*E1*E1*E1*E4
35,5,10,7,1+1+1+1+1+2+3,1/120,E1*E1*E1*E1*E1*E2*E3
39,5,10,7,1+1+1+1+2+2+2,1/144,E1*E1*E1*E1*E2*E2*E2
36,5,10,8,1+1+1+1+1+1+1+3,1/5040,E1*E1*E1*E1*E1*E1*E1*E3
40,5,10,8,1+1+1+1+1+1+2+2,1/1440,E1*E1*E1*E1*E1*E1*E2*E2
41,5,10,9,1+1+1+1+1+1+1+1+2,1/40320,E1*E1*E1*E1*E1*E1*E1*E1*E2
42,5,10,10,1+1+1+1+1+1+1+1+1+1,1/3628800,E1*E1*E1*E1*E1*E1*E1*E1*E1*E1
