k,r,q_binomial_coeffs,q_binomial_nonnegative,q_monomial_nonnegative
0,0,1,True,True
1,0,2;55/8;31/4;23/8,True,True
1,1,2;31/8;15/8,True,True
2,0,0;28;2967/16;29975/64;9201/16;22195/64;2645/32,True,True
2,1,0;50;2419/12;19423/64;13247/64;1725/32,True,True
2,2,0;28;781/24;709/32;279/64,True,True
3,0,0;0;1383;184165/16;1338991/64;415197/16;2422403/64,True,False
3,1,0;0;42113/9;9921805/384;165798539/2304;108658015/768;6012133/256,True,False
3,2,0;0;11057/2;53989/6;17815/8;552211/128,True,False
3,3,0;0;3584;11429/2;3375/8,True,False
