j,n,d,k,value,positive
1,0,2,0,1,True
1,0,2,1,2,True
1,1,3,0,1,True
1,1,3,1,4,True
1,2,4,0,1,True
1,2,4,1,6,True
1,3,5,0,1,True
1,3,5,1,8,True
1,4,6,0,1,True
1,4,6,1,10,True
1,5,7,0,1,True
1,5,7,1,12,True
1,6,8,0,1,True
1,6,8,1,14,True
1,7,9,0,1,True
1,7,9,1,16,True
1,8,10,0,1,True
1,8,10,1,18,True
2,0,3,0,1,True
2,0,3,1,71/8,True
2,0,3,2,28,True
2,0,3,3,32,True
2,1,4,0,1,True
2,1,4,1,59/4,True
2,1,4,2,78,True
2,1,4,3,144,True
2,2,5,0,1,True
2,2,5,1,165/8,True
2,2,5,2,152,True
2,2,5,3,384,True
2,3,6,0,1,True
2,3,6,1,53/2,True
2,3,6,2,250,True
2,3,6,3,800,True
2,4,7,0,1,True
2,4,7,1,259/8,True
2,4,7,2,372,True
2,4,7,3,1440,True
2,5,8,0,1,True
2,5,8,1,153/4,True
2,5,8,2,518,True
2,5,8,3,2352,True
2,6,9,0,1,True
2,6,9,1,353/8,True
2,6,9,2,688,True
2,6,9,3,3584,True
2,7,10,0,1,True
2,7,10,1,50,True
2,7,10,2,882,True
2,7,10,3,5184,True
2,8,11,0,1,True
2,8,11,1,447/8,True
2,8,11,2,1100,True
2,8,11,3,7200,True
3,0,4,0,1,True
3,0,4,1,47/2,True
3,0,4,2,3863/16,True
3,0,4,3,1383,True
3,0,4,4,4644,True
3,0,4,5,8640,True
3,0,4,6,6912,True
3,1,5,0,1,True
3,1,5,1,281/8,True
3,1,5,2,26065/48,True
3,1,5,3,42113/9,True
3,1,5,4,210928/9,True
3,1,5,5,64000,True
3,1,5,6,73728,True
3,2,6,0,1,True
3,2,6,1,187/4,True
3,2,6,2,7691/8,True
3,2,6,3,65849/6,True
3,2,6,4,216940/3,True
3,2,6,5,257600,True
3,2,6,6,384000,True
3,3,7,0,1,True
3,3,7,1,467/8,True
3,3,7,2,2993/2,True
3,3,7,3,84889/4,True
3,3,7,4,172872,True
3,3,7,5,757440,True
3,3,7,6,1382400,True
3,4,8,0,1,True
3,4,8,1,70,True
3,4,8,2,103123/48,True
3,4,8,3,327365/9,True
3,4,8,4,3172708/9,True
