j,n,d,level,value
1,0,2,L2,2
1,0,2,L4,-2
1,0,2,L6,8/3
1,0,2,L8,-4
1,1,3,L2,4
1,1,3,L4,-8
1,1,3,L6,64/3
1,1,3,L8,-64
1,2,4,L2,6
1,2,4,L4,-18
1,2,4,L6,72
1,2,4,L8,-324
1,3,5,L2,8
1,3,5,L4,-32
1,3,5,L6,512/3
1,3,5,L8,-1024
1,4,6,L2,10
1,4,6,L4,-50
1,4,6,L6,1000/3
1,4,6,L8,-2500
1,5,7,L2,12
1,5,7,L4,-72
1,5,7,L6,576
1,5,7,L8,-5184
1,6,8,L2,14
1,6,8,L4,-98
1,6,8,L6,2744/3
1,6,8,L8,-9604
1,7,9,L2,16
1,7,9,L4,-128
1,7,9,L6,4096/3
1,7,9,L8,-16384
1,8,10,L2,18
1,8,10,L4,-162
1,8,10,L6,1944
1,8,10,L8,-26244
2,0,3,L2,71/8
2,0,3,L4,-1457/128
2,0,3,L6,25367/1536
2,0,3,L8,-353377/16384
2,1,4,L2,59/4
2,1,4,L4,-985/32
2,1,4,L6,12131/192
2,1,4,L8,-30193/1024
2,2,5,L2,165/8
2,2,5,L4,-7769/128
2,2,5,L6,88863/512
2,2,5,L8,-850673/16384
2,3,6,L2,53/2
2,3,6,L4,-809/8
2,3,6,L6,9077/24
2,3,6,L8,-11281/64
2,4,7,L2,259/8
2,4,7,L4,-19465/128
2,4,7,L6,1087003/1536
2,4,7,L8,-9066577/16384
2,5,8,L2,153/4
2,5,8,L4,-6833/32
2,5,8,L6,76323/64
2,5,8,L8,-1431137/1024
2,6,9,L2,353/8
2,6,9,L4,-36545/128
2,6,9,L6,2862113/1536
2,6,9,L8,-48934273/16384
2,7,10,L2,50
2,7,10,L4,-368
2,7,10,L6,8252/3
2,7,10,L8,-5662
2,8,11,L2,447/8
2,8,11,L4,-59009/128
2,8,11,L6,1989141/512
2,8,11,L8,-161025281/16384
3,0,4,L2,47/2
3,0,4,L4,-555/16
3,0,4,L6,3377/96
3,0,4,L8,44191/512
3,1,5,L2,281/8
3,1,5,L4,-28363/384
3,1,5,L6,234799/4608
3,1,5,L8,52051213/49152
3,2,6,L2,187/4
3,2,6,L4,-4205/32
3,2,6,L6,17069/192
3,2,6,L8,4191455/1024
3,3,7,L2,467/8
3,3,7,L4,-26537/128
3,3,7,L6,262763/1536
3,3,7,L8,176907375/16384
3,4,8,L2,70
3,4,8,L4,-14477/48
3,4,8,L6,23005/72
3,4,8,L8,35616989/1536
3,5,9,L2,653/8
3,5,9,L4,-53025/128
3,5,9,L6,284819/512
3,5,9,L8,715793887/16384
3,6,10,L2,373/4
3,6,10,L4,-17449/32
3,6,10,L6,173461/192
3,6,10,L8,76933231/1024
3,7,11,L2,839/8
3,7,11,L4,-266755/384
3,7,11,L6,6373021/4608
3,7,11,L8,5935174525/49152
3,8,12,L2,233/2
3,8,12,L4,-13799/16
3,8,12,L6,193643/96
3,8,12,L8,94309815/512
